,dataset,target_coverage,expected_coverage,coverage,mse_expected,mse_filtered,mse_prop_base,comparison_loss
39,12_space_ga,1.0,1.0,1.0,14601452824628.084,12570377730990.354,1.0000000000000002,10160539402180.172
40,13_balloon,0.1,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
41,13_balloon,0.2,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
42,13_balloon,0.30000000000000004,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
43,13_balloon,0.4,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
44,13_balloon,0.5,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
45,13_balloon,0.6,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
46,13_balloon,0.7000000000000001,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
47,13_balloon,0.8,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
48,13_balloon,0.9,0.9683597002497918,0.975,0.0008830384817245163,0.0008781332849283908,0.6733014406510042,9.750066224999951e-05
49,13_balloon,1.0,1.0,1.0,0.0014167852150700894,0.0013042201188212788,1.0,9.750066224999951e-05
50,14_pm10,0.1,0.15614617940199335,0.10552763819095477,21234.80615375499,39548.83282428245,0.9410180755825375,39029.14622864322
51,14_pm10,0.2,0.22591362126245848,0.1708542713567839,23112.992865744658,47503.5668208314,1.1302916379772145,39029.14622864322
52,14_pm10,0.30000000000000004,0.36212624584717606,0.2864321608040201,26183.940959338808,42398.70277783809,1.008827387459596,39029.14622864322
53,14_pm10,0.4,0.4584717607973422,0.4120603015075377,28366.35525565349,42762.424640641395,1.0174817224409387,39029.14622864322
54,14_pm10,0.5,0.6046511627906976,0.5226130653266332,30691.270964609703,41026.195160998934,0.9761701790393426,39029.14622864322
55,14_pm10,0.6,0.6046511627906976,0.5226130653266332,30691.270964609703,41026.195160998934,0.9761701790393426,39029.14622864322
56,14_pm10,0.7000000000000001,0.7242524916943521,0.6582914572864321,32354.451485822527,39889.98585739412,0.9491354117407054,39029.14622864322
57,14_pm10,0.8,0.9335548172757475,0.8693467336683417,36369.6876862457,41057.00485675557,0.9769032596017705,39029.14622864322
58,14_pm10,0.9,0.9335548172757475,0.8693467336683417,36369.6876862457,41057.00485675557,0.9769032596017705,39029.14622864322
59,14_pm10,1.0,1.0,1.0,38564.24929864192,42027.70791602459,0.9999999999999997,39029.14622864322
60,15_pollen,0.1,0.18319618882633174,0.17803768680961662,1117390.7186273935,1205527.7058991597,1.0023410100458376,1320404.0909948668
61,15_pollen,0.2,0.5980944131658726,0.5984405458089669,1167967.0117501027,1215207.9014914574,1.010389648812035,1320404.0909948668
62,15_pollen,0.30000000000000004,0.5980944131658726,0.5984405458089669,1167967.0117501027,1215207.9014914574,1.010389648812035,1320404.0909948668
63,15_pollen,0.4,0.5980944131658726,0.5984405458089669,1167967.0117501027,1215207.9014914574,1.010389648812035,1320404.0909948668
64,15_pollen,0.5,0.5980944131658726,0.5984405458089669,1167967.0117501027,1215207.9014914574,1.010389648812035,1320404.0909948668
65,15_pollen,0.6,0.9034213945430922,0.9051332033788174,1230653.9716613512,1202011.8968549718,0.9994177760370008,1320404.0909948668
66,15_pollen,0.7000000000000001,0.9034213945430922,0.9051332033788174,1230653.9716613512,1202011.8968549718,0.9994177760370008,1320404.0909948668
67,15_pollen,0.8,0.9034213945430922,0.9051332033788174,1230653.9716613512,1202011.8968549718,0.9994177760370008,1320404.0909948668
68,15_pollen,0.9,0.9034213945430922,0.9051332033788174,1230653.9716613512,1202011.8968549718,0.9994177760370008,1320404.0909948668
69,15_pollen,1.0,1.0,1.0,1262680.3106094257,1202712.1446861983,1.0,1320404.0909948668
70,16_houses,0.1,0.31408962454582157,0.3125378558449425,0.07799779858458802,0.076922232874246,0.19502246864307865,0.15242542236220502
71,16_houses,0.2,0.31408962454582157,0.3125378558449425,0.07799779858458802,0.076922232874246,0.19502246864307865,0.15242542236220502
72,16_houses,0.30000000000000004,0.31408962454582157,0.3125378558449425,0.07799779858458802,0.076922232874246,0.19502246864307865,0.15242542236220502
73,16_houses,0.4,0.4692773516350424,0.47522713506965475,0.11223034313117848,0.10616111619026478,0.2691523917041921,0.15242542236220502
74,16_houses,0.5,0.5547032700847799,0.5577225923682616,0.1371746997417172,0.13238347036593834,0.33563444837216977,0.15242542236220502
75,16_houses,0.6,0.7635042389987888,0.7718958207147184,0.19854264169997665,0.20873034607245208,0.5291982025316729,0.15242542236220502
76,16_houses,0.7000000000000001,0.7635042389987888,0.7718958207147184,0.19854264169997665,0.20873034607245208,0.5291982025316729,0.15242542236220502
77,16_houses,0.8,0.8141299959628583,0.8188976377952756,0.2185877684771282,0.2244045443071352,0.5689373094128556,0.15242542236220502
78,16_houses,0.9,0.9383124747678644,0.94076317383404,0.3170836156124499,0.3206738521908656,0.8130108025567547,0.15242542236220502
79,16_houses,1.0,1.0,1.0,0.3918883229576648,0.39442754165431887,1.0,0.15242542236220502
80,18_no2,0.1,0.15282392026578073,0.11557788944723618,19348.743997773043,29349.855858260504,0.8153954220050873,32756.029831155778
81,18_no2,0.2,0.20930232558139536,0.19597989949748743,22172.819719482355,25935.664278773478,0.720542616008137,32756.029831155778
82,18_no2,0.30000000000000004,0.31893687707641194,0.2864321608040201,26698.00813691973,28992.809713745894,0.8054759936750895,32756.029831155778
83,18_no2,0.4,0.8205980066445183,0.8492462311557789,33570.414830653,34773.45183932578,0.9660733454375848,32756.029831155778
84,18_no2,0.5,0.8205980066445183,0.8492462311557789,33570.414830653,34773.45183932578,0.9660733454375848,32756.029831155778
85,18_no2,0.6,0.8205980066445183,0.8492462311557789,33570.414830653,34773.45183932578,0.9660733454375848,32756.029831155778
86,18_no2,0.7000000000000001,0.8205980066445183,0.8492462311557789,33570.414830653,34773.45183932578,0.9660733454375848,32756.029831155778
87,18_no2,0.8,0.8205980066445183,0.8492462311557789,33570.414830653,34773.45183932578,0.9660733454375848,32756.029831155778
88,18_no2,0.9,0.9700996677740864,0.9698492462311558,37605.22955119903,36129.34257014474,1.003742596693473,32756.029831155778
89,18_no2,1.0,1.0,1.0,38736.20334574221,35994.62918995563,1.0,32756.029831155778
90,19_strikes,0.1,0.19414893617021275,0.19678714859437751,0.0064707784494591565,0.008699640344249453,0.0987489073076144,0.009410115461847387
91,19_strikes,0.2,0.20212765957446807,0.20883534136546184,0.0072053375424056335,0.00957339137901247,0.108666783970042,0.009410115461847387
92,19_strikes,0.30000000000000004,0.38563829787234044,0.3855421686746988,0.01925301383502068,0.026090464995785836,0.29615073813763376,0.009410115461847387
93,19_strikes,0.4,0.47606382978723405,0.5100401606425703,0.030311554374374237,0.038538540694680566,0.43744782913299407,0.009410115461847387
94,19_strikes,0.5,0.5558510638297872,0.570281124497992,0.03743251245880977,0.04176706033596088,0.4740944920043323,0.009410115461847387
95,19_strikes,0.6,0.6622340425531915,0.6586345381526104,0.052595822293202844,0.052684457265957024,0.5980169732587723,0.009410115461847387
96,19_strikes,0.7000000000000001,0.9361702127659575,0.9236947791164659,0.07610476251041876,0.07365437057279102,0.8360447472177326,0.009410115461847387
97,19_strikes,0.8,0.9361702127659575,0.9236947791164659,0.07610476251041876,0.07365437057279102,0.8360447472177326,0.009410115461847387
98,19_strikes,0.9,0.9361702127659575,0.9236947791164659,0.07610476251041876,0.07365437057279102,0.8360447472177326,0.009410115461847387
99,19_strikes,1.0,1.0,1.0,0.08986416179035547,0.08809859857131436,0.9999999999999999,0.009410115461847387
100,1_delta_elevators,0.1,0.292768341796533,0.3024172359432475,1.512258295614052e-06,1.7213507379887058e-06,0.7925842940074246,2.213852469784551e-06
101,1_delta_elevators,0.2,0.292768341796533,0.3024172359432475,1.512258295614052e-06,1.7213507379887058e-06,0.7925842940074246,2.213852469784551e-06
102,1_delta_elevators,0.30000000000000004,0.7834004552617755,0.7724645296899633,1.7763006202030323e-06,1.9489685326822305e-06,0.8973893666339875,2.213852469784551e-06
103,1_delta_elevators,0.4,0.7834004552617755,0.7724645296899633,1.7763006202030323e-06,1.9489685326822305e-06,0.8973893666339875,2.213852469784551e-06
