,dataset,target_coverage,expected_coverage,coverage,mse_expected,mse_filtered,mse_prop_base,comparison_loss
210,2_quake,0.1,0.6993114001530222,0.7049368541905855,0.030823650415448732,0.0389941006110132,1.0003515754396848,0.04316341572873478
211,2_quake,0.2,0.6993114001530222,0.7049368541905855,0.030823650415448732,0.0389941006110132,1.0003515754396848,0.04316341572873478
212,2_quake,0.30000000000000004,0.6993114001530222,0.7049368541905855,0.030823650415448732,0.0389941006110132,1.0003515754396848,0.04316341572873478
213,2_quake,0.4,0.6993114001530222,0.7049368541905855,0.030823650415448732,0.0389941006110132,1.0003515754396848,0.04316341572873478
214,2_quake,0.5,0.6993114001530222,0.7049368541905855,0.030823650415448732,0.0389941006110132,1.0003515754396848,0.04316341572873478
215,2_quake,0.6,0.6993114001530222,0.7049368541905855,0.030823650415448732,0.0389941006110132,1.0003515754396848,0.04316341572873478
216,2_quake,0.7000000000000001,0.9839326702371843,0.9804822043628014,0.033020155371664216,0.0370138310406209,0.949549896378065,0.04316341572873478
217,2_quake,0.8,0.9839326702371843,0.9804822043628014,0.033020155371664216,0.0370138310406209,0.949549896378065,0.04316341572873478
218,2_quake,0.9,0.9839326702371843,0.9804822043628014,0.033020155371664216,0.0370138310406209,0.949549896378065,0.04316341572873478
219,2_quake,1.0,1.0,1.0,0.034362448584755824,0.03898039606112892,1.0,0.04316341572873478
220,30_fri_c2_1000_10,0.1,0.22462562396006655,0.22305764411027568,0.03448817094045454,0.03963838149861675,0.44626566964361886,0.1173684105610561
221,30_fri_c2_1000_10,0.2,0.22462562396006655,0.22305764411027568,0.03448817094045454,0.03963838149861675,0.44626566964361886,0.1173684105610561
222,30_fri_c2_1000_10,0.30000000000000004,0.33111480865224624,0.3132832080200501,0.038445796968743895,0.04001683437936734,0.4505264522959734,0.1173684105610561
223,30_fri_c2_1000_10,0.4,0.4276206322795341,0.43859649122807015,0.04058469360675837,0.07367600204883828,0.8294756028859761,0.1173684105610561
224,30_fri_c2_1000_10,0.5,0.6039933444259568,0.5639097744360902,0.0438924111308944,0.06757833574381847,0.7608254957425258,0.1173684105610561
225,30_fri_c2_1000_10,0.6,0.6039933444259568,0.5639097744360902,0.0438924111308944,0.06757833574381847,0.7608254957425258,0.1173684105610561
226,30_fri_c2_1000_10,0.7000000000000001,0.7420965058236273,0.7142857142857143,0.0498211829167707,0.07090836738498701,0.7983164008727562,0.1173684105610561
227,30_fri_c2_1000_10,0.8,0.826955074875208,0.7819548872180451,0.05983220293491184,0.07463469375752425,0.8402689597583666,0.1173684105610561
228,30_fri_c2_1000_10,0.9,0.9168053244592346,0.8796992481203008,0.0758257346775471,0.08378674145615482,0.9433065849192788,0.1173684105610561
229,30_fri_c2_1000_10,1.0,1.0,1.0,0.10507247103501617,0.08882238584534494,1.0,0.1173684105610561
230,31_fri_c3_1000_10,0.1,0.27287853577371046,0.23057644110275688,0.025276479405620455,0.04318396237171331,0.49292587770115365,0.13721420168032683
231,31_fri_c3_1000_10,0.2,0.27287853577371046,0.23057644110275688,0.025276479405620455,0.04318396237171331,0.49292587770115365,0.13721420168032683
232,31_fri_c3_1000_10,0.30000000000000004,0.415973377703827,0.38345864661654133,0.027369878705678304,0.039395349083765574,0.4496805285560933,0.13721420168032683
233,31_fri_c3_1000_10,0.4,0.415973377703827,0.38345864661654133,0.027369878705678304,0.039395349083765574,0.4496805285560933,0.13721420168032683
234,31_fri_c3_1000_10,0.5,0.5324459234608985,0.49874686716791977,0.03396233567247917,0.047531050371945285,0.5425459692877953,0.13721420168032683
235,31_fri_c3_1000_10,0.6,0.6622296173044925,0.6115288220551378,0.03976115628244751,0.05346633456477427,0.6102946197004864,0.13721420168032683
236,31_fri_c3_1000_10,0.7000000000000001,0.7071547420965059,0.6591478696741855,0.04216137554798693,0.05284619486011396,0.6032159985775379,0.13721420168032683
237,31_fri_c3_1000_10,0.8,0.8069883527454242,0.7543859649122807,0.04792675984467071,0.06939766664276116,0.7921437464641328,0.13721420168032683
238,31_fri_c3_1000_10,0.9,0.9001663893510815,0.8671679197994987,0.06043086211020301,0.0751059716136622,0.8573015292017898,0.13721420168032683
